kode_kabupaten,kode_provinsi,name
11.01,11,Aceh Selatan
11.02,11,Aceh Tenggara
11.03,11,Aceh Timur
11.04,11,Aceh Tengah
11.05,11,Aceh Barat
11.06,11,Aceh Besar
11.07,11,Pidie
11.08,11,Aceh Utara
11.09,11,Simeulue
11.10,11,Aceh Singkil
11.11,11,Bireuen
11.12,11,Aceh Barat Daya
11.13,11,Gayo Lues
11.14,11,Aceh Jaya
11.15,11,Nagan Raya
11.16,11,Aceh Tamiang
11.17,11,Bener Meriah
11.18,11,Pidie Jaya
11.71,11,Kota Banda Aceh
11.72,11,Kota Sabang
11.73,11,Kota Lhokseumawe
11.74,11,Kota Langsa
11.75,11,Kota Subulussalam
12.01,12,Tapanuli Tengah
12.02,12,Tapanuli Utara
12.03,12,Tapanuli Selatan
12.04,12,Nias
12.05,12,Langkat
12.06,12,Karo
12.07,12,Deli Serdang
12.08,12,Simalungun
12.09,12,Asahan
12.10,12,Labuhanbatu
12.11,12,Dairi
12.12,12,Toba
12.13,12,Mandailing Natal
12.14,12,Nias Selatan
12.15,12,Pakpak Bharat
12.16,12,Humbang Hasundutan
12.17,12,Samosir
12.18,12,Serdang Bedagai
12.19,12,Batu Bara
12.20,12,Padang Lawas Utara
12.21,12,Padang Lawas
12.22,12,Labuhanbatu Selatan
12.23,12,Labuhanbatu Utara
12.24,12,Nias Utara
12.25,12,Nias Barat
12.71,12,Kota Medan
12.72,12,Kota Pematangsiantar
12.73,12,Kota Sibolga
12.74,12,Kota Tanjung Balai
12.75,12,Kota Binjai
12.76,12,Kota Tebing Tinggi
12.77,12,Kota Padangsidimpuan
12.78,12,Kota Gunungsitoli
13.01,13,Pesisir Selatan
13.02,13,Solok
13.03,13,Sijunjung
13.04,13,Tanah Datar
13.05,13,Padang Pariaman
13.06,13,Agam
13.07,13,Lima Puluh Kota
13.08,13,Pasaman
13.09,13,Kepulauan Mentawai
13.10,13,Dharmasraya
13.11,13,Solok Selatan
13.12,13,Pasaman Barat
13.71,13,Kota Padang
13.72,13,Kota Solok
13.73,13,Kota Sawahlunto
13.74,13,Kota Padang Panjang
13.75,13,Kota Bukittinggi
13.76,13,Kota Payakumbuh
13.77,13,Kota Pariaman
14.01,14,Kampar
14.02,14,Indragiri Hulu
14.03,14,Bengkalis
14.04,14,Indragiri Hilir
14.05,14,Pelalawan
14.06,14,Rokan Hulu
14.07,14,Rokan Hilir
14.08,14,Siak
14.09,14,Kuantan Singingi
14.10,14,Kepulauan Meranti
14.71,14,Kota Pekanbaru
14.72,14,Kota Dumai
15.01,15,Kerinci
15.02,15,Merangin
15.03,15,Sarolangun
15.04,15,Batanghari
15.05,15,Muaro Jambi
15.06,15,Tanjung Jabung Barat
15.07,15,Tanjung Jabung Timur
15.08,15,Bungo
15.09,15,Tebo
15.71,15,Kota Jambi
15.72,15,Kota Sungai Penuh
16.01,16,Ogan Komering Ulu
16.02,16,Ogan Komering Ilir
16.03,16,Muara Enim
16.04,16,Lahat
16.05,16,Musi Rawas
16.06,16,Musi Banyuasin
16.07,16,Banyuasin
16.08,16,Ogan Komering Ulu Timur
16.09,16,Ogan Komering Ulu Selatan
16.10,16,Ogan Ilir
16.11,16,Empat Lawang
16.12,16,Penukal Abab Lematang Ilir
16.13,16,Musi Rawas Utara
16.71,16,Kota Palembang
16.72,16,Kota Pagar Alam
16.73,16,Kota Lubuk Linggau
16.74,16,Kota Prabumulih
17.01,17,Bengkulu Selatan
17.02,17,Rejang Lebong
17.03,17,Bengkulu Utara
17.04,17,Kaur
17.05,17,Seluma
17.06,17,Muko Muko
17.07,17,Lebong
17.08,17,Kepahiang
17.09,17,Bengkulu Tengah
17.71,17,Kota Bengkulu
18.01,18,Lampung Selatan
18.02,18,Lampung Tengah
18.03,18,Lampung Utara
18.04,18,Lampung Barat
18.05,18,Tulang Bawang
18.06,18,Tanggamus
18.07,18,Lampung Timur
18.08,18,Way Kanan
18.09,18,Pesawaran
18.10,18,Pringsewu
18.11,18,Mesuji
18.12,18,Tulang Bawang Barat
18.13,18,Pesisir Barat
18.71,18,Kota Bandar Lampung
18.72,18,Kota Metro
19.01,19,Bangka
19.02,19,Belitung
19.03,19,Bangka Selatan
19.04,19,Bangka Tengah
19.05,19,Bangka Barat
19.06,19,Belitung Timur
19.71,19,Kota Pangkal Pinang
21.01,21,Bintan
21.02,21,Karimun
21.03,21,Natuna
21.04,21,Lingga
21.05,21,Kepulauan Anambas
21.71,21,Kota Batam
21.72,21,Kota Tanjung Pinang
31.01,31,Kepulauan Seribu
31.71,31,Kota Jakarta Pusat
31.72,31,Kota Jakarta Utara
31.73,31,Kota Jakarta Barat
31.74,31,Kota Jakarta Selatan
31.75,31,Kota Jakarta Timur
32.01,32,Bogor
32.02,32,Sukabumi
32.03,32,Cianjur
32.04,32,Bandung
32.05,32,Garut
32.06,32,Tasikmalaya
32.07,32,Ciamis
32.08,32,Kuningan
32.09,32,Cirebon
32.10,32,Majalengka
32.11,32,Sumedang
32.12,32,Indramayu
32.13,32,Subang
32.14,32,Purwakarta
32.15,32,Karawang
32.16,32,Bekasi
32.17,32,Bandung Barat
32.18,32,Pangandaran
32.71,32,Kota Bogor
32.72,32,Kota Sukabumi
32.73,32,Kota Bandung
32.74,32,Kota Cirebon
32.75,32,Kota Bekasi
32.76,32,Kota Depok
32.77,32,Kota Cimahi
32.78,32,Kota Tasikmalaya
32.79,32,Kota Banjar
33.01,33,Cilacap
33.02,33,Banyumas
33.03,33,Purbalingga
33.04,33,Banjarnegara
33.05,33,Kebumen
33.06,33,Purworejo
33.07,33,Wonosobo
33.08,33,Magelang
33.09,33,Boyolali
33.10,33,Klaten
33.11,33,Sukoharjo
33.12,33,Wonogiri
33.13,33,Karanganyar
33.14,33,Sragen
33.15,33,Grobogan
33.16,33,Blora
33.17,33,Rembang
33.18,33,Pati
33.19,33,Kudus
33.20,33,Jepara
33.21,33,Demak
33.22,33,Semarang
33.23,33,Temanggung
33.24,33,Kendal
33.25,33,Batang
33.26,33,Pekalongan
33.27,33,Pemalang
33.28,33,Tegal
33.29,33,Brebes
33.71,33,Kota Magelang
33.72,33,Kota Surakarta
33.73,33,Kota Salatiga
33.74,33,Kota Semarang
33.75,33,Kota Pekalongan
33.76,33,Kota Tegal
34.01,34,Kulon Progo
34.02,34,Bantul
34.03,34,Gunungkidul
34.04,34,Sleman
34.71,34,Kota Yogyakarta
35.01,35,Pacitan
35.02,35,Ponorogo
35.03,35,Trenggalek
35.04,35,Tulungagung
35.05,35,Blitar
35.06,35,Kediri
35.07,35,Malang
35.08,35,Lumajang
35.09,35,Jember
35.10,35,Banyuwangi
35.11,35,Bondowoso
35.12,35,Situbondo
35.13,35,Probolinggo
35.14,35,Pasuruan
35.15,35,Sidoarjo
35.16,35,Mojokerto
35.17,35,Jombang
35.18,35,Nganjuk
35.19,35,Madiun
35.20,35,Magetan
35.21,35,Ngawi
35.22,35,Bojonegoro
35.23,35,Tuban
35.24,35,Lamongan
35.25,35,Gresik
35.26,35,Bangkalan
35.27,35,Sampang
35.28,35,Pamekasan
35.29,35,Sumenep
35.71,35,Kota Kediri
35.72,35,Kota Blitar
35.73,35,Kota Malang
35.74,35,Kota Probolinggo
35.75,35,Kota Pasuruan
35.76,35,Kota Mojokerto
35.77,35,Kota Madiun
35.78,35,Kota Surabaya
35.79,35,Kota Batu
36.01,36,Pandeglang
36.02,36,Lebak
36.03,36,Tangerang
36.04,36,Serang
36.71,36,Kota Tangerang
36.72,36,Kota Cilegon
36.73,36,Kota Serang
36.74,36,Kota Tangerang Selatan
51.01,51,Jembrana
51.02,51,Tabanan
51.03,51,Badung
51.04,51,Gianyar
51.05,51,Klungkung
51.06,51,Bangli
51.07,51,Karangasem
51.08,51,Buleleng
51.71,51,Kota Denpasar
52.01,52,Lombok Barat
52.02,52,Lombok Tengah
52.03,52,Lombok Timur
52.04,52,Sumbawa
52.05,52,Dompu
52.06,52,Bima
52.07,52,Sumbawa Barat
52.08,52,Lombok Utara
52.71,52,Kota Mataram
52.72,52,Kota Bima
53.01,53,Kupang
53.02,53,Timor Tengah Selatan
53.03,53,Timor Tengah Utara
53.04,53,Belu
53.05,53,Alor
53.06,53,Flores Timur
53.07,53,Sikka
53.08,53,Ende
53.09,53,Ngada
53.10,53,Manggarai
53.11,53,Sumba Timur
53.12,53,Sumba Barat
53.13,53,Lembata
53.14,53,Rote Ndao
53.15,53,Manggarai Barat
53.16,53,Nagekeo
53.17,53,Sumba Tengah
53.18,53,Sumba Barat Daya
53.19,53,Manggarai Timur
53.20,53,Sabu Raijua
53.21,53,Malaka
53.71,53,Kota Kupang
61.01,61,Sambas
61.02,61,Mempawah
61.03,61,Sanggau
61.04,61,Ketapang
61.05,61,Sintang
61.06,61,Kapuas Hulu
61.07,61,Bengkayang
61.08,61,Landak
61.09,61,Sekadau
61.10,61,Melawi
61.11,61,Kayong Utara
61.12,61,Kubu Raya
61.71,61,Kota Pontianak
61.72,61,Kota Singkawang
62.01,62,Kotawaringin Barat
62.02,62,Kotawaringin Timur
62.03,62,Kapuas
62.04,62,Barito Selatan
62.05,62,Barito Utara
62.06,62,Katingan
62.07,62,Seruyan
62.08,62,Sukamara
62.09,62,Lamandau
62.10,62,Gunung Mas
62.11,62,Pulang Pisau
62.12,62,Murung Raya
62.13,62,Barito Timur
62.71,62,Kota Palangkaraya
63.01,63,Tanah Laut
63.02,63,Kotabaru
63.03,63,Banjar
63.04,63,Barito Kuala
63.05,63,Tapin
63.06,63,Hulu Sungai Selatan
63.07,63,Hulu Sungai Tengah
63.08,63,Hulu Sungai Utara
63.09,63,Tabalong
63.10,63,Tanah Bumbu
63.11,63,Balangan
63.71,63,Kota Banjarmasin
63.72,63,Kota Banjarbaru
64.01,64,Paser
64.02,64,Kutai Kartanegara
64.03,64,Berau
64.07,64,Kutai Barat
64.08,64,Kutai Timur
64.09,64,Penajam Paser Utara
64.11,64,Mahakam Ulu
64.71,64,Kota Balikpapan
64.72,64,Kota Samarinda
64.74,64,Kota Bontang
65.01,65,Bulungan
65.02,65,Malinau
65.03,65,Nunukan
65.04,65,Tana Tidung
65.71,65,Kota Tarakan
71.01,71,Bolaang Mongondow
71.02,71,Minahasa
71.03,71,Kepulauan Sangihe
71.04,71,Kepulauan Talaud
71.05,71,Minahasa Selatan
71.06,71,Minahasa Utara
71.07,71,Minahasa Tenggara
71.08,71,Bolaang Mongondow Utara
71.09,71,Kepulauan Siau Tagulandang Biaro (Sitaro)
71.10,71,Bolaang Mongondow Timur
71.11,71,Bolaang Mongondow Selatan
71.71,71,Kota Manado
71.72,71,Kota Bitung
71.73,71,Kota Tomohon
71.74,71,Kota Kotamobagu
72.01,72,Banggai
72.02,72,Poso
72.03,72,Donggala
72.04,72,Toli Toli
72.05,72,Buol
72.06,72,Morowali
72.07,72,Banggai Kepulauan
72.08,72,Parigi Moutong
72.09,72,Tojo Una Una
72.10,72,Sigi
72.11,72,Banggai Laut
72.12,72,Morowali Utara
72.71,72,Kota Palu
73.01,73,Kepulauan Selayar
73.02,73,Bulukumba
73.03,73,Bantaeng
73.04,73,Jeneponto
73.05,73,Takalar
73.06,73,Gowa
73.07,73,Sinjai
73.08,73,Bone
73.09,73,Maros
73.10,73,Pangkajene Kepulauan
73.11,73,Barru
73.12,73,Soppeng
73.13,73,Wajo
73.14,73,Sidenreng Rappang
73.15,73,Pinrang
73.16,73,Enrekang
73.17,73,Luwu
73.18,73,Tana Toraja
73.22,73,Luwu Utara
73.24,73,Luwu Timur
73.26,73,Toraja Utara
73.71,73,Kota Makassar
73.72,73,Kota Pare Pare
73.73,73,Kota Palopo
74.01,74,Kolaka
74.02,74,Konawe
74.03,74,Muna
74.04,74,Buton
74.05,74,Konawe Selatan
74.06,74,Bombana
74.07,74,Wakatobi
74.08,74,Kolaka Utara
74.09,74,Konawe Utara
74.10,74,Buton Utara
74.11,74,Kolaka Timur
74.12,74,Konawe Kepulauan
74.13,74,Muna Barat
74.14,74,Buton Tengah
74.15,74,Buton Selatan
74.71,74,Kota Kendari
74.72,74,Kota Bau Bau
75.01,75,Gorontalo
75.02,75,Boalemo
75.03,75,Bone Bolango
75.04,75,Pahuwato
75.05,75,Gorontalo Utara
75.71,75,Kota Gorontalo
76.01,76,Pasangkayu (Mamuju Utara)
76.02,76,Mamuju
76.03,76,Mamasa
76.04,76,Polewali Mandar
76.05,76,Majene
76.06,76,Mamuju Tengah
81.01,81,Maluku Tengah
81.02,81,Maluku Tenggara
81.03,81,Kepulauan Tanimbar (Maluku Tenggara Barat)
81.04,81,Buru
81.05,81,Seram Bagian Timur
81.06,81,Seram Bagian Barat
81.07,81,Kepulauan Aru
81.08,81,Maluku Barat Daya
81.09,81,Buru Selatan
81.71,81,Kota Ambon
81.72,81,Kota Tual
82.01,82,Halmahera Barat
82.02,82,Halmahera Tengah
82.03,82,Halmahera Utara
82.04,82,Halmahera Selatan
82.05,82,Kepulauan Sula
82.06,82,Halmahera Timur
82.07,82,Pulau Morotai
82.08,82,Pulau Taliabu
82.71,82,Kota Ternate
82.72,82,Kota Tidore Kepulauan
91.03,91,Jayapura
91.05,91,Kepulauan Yapen
91.06,91,Biak Numfor
91.10,91,Sarmi
91.11,91,Keerom
91.15,91,Waropen
91.19,91,Supiori
91.20,91,Mamberamo Raya
91.71,91,Kota Jayapura
92.02,92,Manokwari
92.03,92,Fak Fak
92.06,92,Teluk Bintuni
92.07,92,Teluk Wondama
92.08,92,Kaimana
92.11,92,Manokwari Selatan
92.12,92,Pegunungan Arfak
93.01,93,Merauke
93.02,93,Boven Digoel
93.03,93,Mappi
93.04,93,Asmat
94.01,94,Nabire
94.02,94,Puncak Jaya
94.03,94,Paniai
94.04,94,Mimika
94.05,94,Puncak
94.06,94,Dogiyai
94.07,94,Intan Jaya
94.08,94,Deiyai
95.01,95,Jayawijaya
95.02,95,Pegunungan Bintang
95.03,95,Yahukimo
95.04,95,Tolikara
95.05,95,Mamberamo Tengah
95.06,95,Yalimo
95.07,95,Lanny Jaya
95.08,95,Nduga
96.01,96,Sorong
96.04,96,Sorong Selatan
96.05,96,Raja Ampat
96.09,96,Tambrauw
96.10,96,Maybrat
96.71,96,Kota Sorong
